Pango.lineage	Epiyear	Epiweek	N.epiweek	N.Pango.lineage	n.Pango.lineage	pct.Pango.lineage	Predominant
A	2020	32	4.01912568306011	1	1	0.24881033310673	FALSE
A.6	2020	5	1.01912568306011	157	1	0.981233243967829	TRUE
A.6	2020	9	2.01912568306011	157	1	0.495263870094723	TRUE
A.6	2020	11	66.0191256830601	157	48	0.727062036998717	TRUE
A.6	2020	12	111.01912568306	157	86	0.774641301405262	TRUE
A.6	2020	13	42.0191256830601	157	11	0.26178555172638	TRUE
A.6	2020	14	30.0191256830601	157	7	0.233184672795122	TRUE
A.6	2020	15	3.01912568306011	157	1	0.331221719457014	TRUE
A.6	2020	32	4.01912568306011	157	2	0.49762066621346	TRUE
AY.1	2021	44	71.4383561643836	1	0.2	0.00279961649089166	FALSE
AY.1	2021	45	76.1716894977169	1	0.233333333333333	0.00306325532323039	FALSE
AY.1	2021	46	55.1716894977169	1	0.233333333333333	0.00422922218727757	FALSE
AY.1	2021	47	123.171689497717	1	0.233333333333333	0.00189437470805869	FALSE
AY.1	2021	48	121.238356164384	1	0.1	0.00082482147699539	FALSE
AY.100	2021	47	123.171689497717	6	1	0.00811874874882297	FALSE
AY.100	2021	48	121.238356164384	6	0.258064516129032	0.00212857155353649	FALSE
AY.100	2021	49	160.038356164384	6	0.451612903225806	0.00282190416128701	FALSE
AY.100	2021	50	276.038356164384	6	1.45161290322581	0.00525873622563292	FALSE
AY.100	2021	51	256.038356164384	6	2.45161290322581	0.00957517826607122	FALSE
AY.100	2021	52	288.613521873619	6	0.387096774193548	0.00134122882282367	FALSE
AY.103	2021	47	123.171689497717	4	1	0.00811874874882297	FALSE
AY.103	2021	48	121.238356164384	4	0.129032258064516	0.00106428577676825	FALSE
AY.103	2021	49	160.038356164384	4	1.2258064516129	0.00765945415206474	FALSE
AY.103	2021	50	276.038356164384	4	0.225806451612903	0.000818025635098454	FALSE
AY.103	2021	51	256.038356164384	4	1.2258064516129	0.00478758913303561	FALSE
AY.103	2021	52	288.613521873619	4	0.193548387096774	0.000670614411411836	FALSE
AY.104	2021	44	71.4383561643836	2	0.2	0.00279961649089166	FALSE
AY.104	2021	45	76.1716894977169	2	0.233333333333333	0.00306325532323039	FALSE
AY.104	2021	46	55.1716894977169	2	0.233333333333333	0.00422922218727757	FALSE
AY.104	2021	47	123.171689497717	2	0.233333333333333	0.00189437470805869	FALSE
AY.104	2021	48	121.238356164384	2	0.229032258064516	0.00188910725376364	FALSE
AY.104	2021	49	160.038356164384	2	0.225806451612903	0.0014109520806435	FALSE
AY.104	2021	50	276.038356164384	2	0.225806451612903	0.000818025635098454	FALSE
AY.104	2021	51	256.038356164384	2	0.225806451612903	0.000881924313980243	FALSE
AY.104	2021	52	288.613521873619	2	0.193548387096774	0.000670614411411836	FALSE
AY.112	2021	44	71.4383561643836	3	0.4	0.00559923298178332	FALSE
AY.112	2021	45	76.1716894977169	3	0.466666666666667	0.00612651064646077	FALSE
AY.112	2021	46	55.1716894977169	3	0.466666666666667	0.00845844437455514	FALSE
AY.112	2021	47	123.171689497717	3	0.466666666666667	0.00378874941611738	FALSE
AY.112	2021	48	121.238356164384	3	0.2	0.00164964295399078	FALSE
AY.112	2021	51	256.038356164384	3	1	0.00390566481905536	FALSE
AY.114	2021	44	71.4383561643836	4	0.2	0.00279961649089166	FALSE
AY.114	2021	45	76.1716894977169	4	2.23333333333333	0.029319729522348	FALSE
AY.114	2021	46	55.1716894977169	4	0.233333333333333	0.00422922218727757	FALSE
AY.114	2021	47	123.171689497717	4	0.233333333333333	0.00189437470805869	FALSE
AY.114	2021	48	121.238356164384	4	0.1	0.00082482147699539	FALSE
AY.114	2021	51	256.038356164384	4	1	0.00390566481905536	FALSE
AY.119	2021	51	256.038356164384	1	1	0.00390566481905536	FALSE
AY.121	2021	44	71.4383561643836	7	0.6	0.00839884947267498	FALSE
AY.121	2021	45	76.1716894977169	7	0.7	0.00918976596969116	FALSE
AY.121	2021	46	55.1716894977169	7	0.7	0.0126876665618327	FALSE
AY.121	2021	47	123.171689497717	7	0.7	0.00568312412417608	FALSE
AY.121	2021	48	121.238356164384	7	0.558064516129032	0.00460303598452266	FALSE
AY.121	2021	49	160.038356164384	7	0.451612903225806	0.00282190416128701	FALSE
AY.121	2021	50	276.038356164384	7	2.45161290322581	0.00888142118106893	FALSE
AY.121	2021	51	256.038356164384	7	0.451612903225806	0.00176384862796049	FALSE
AY.121	2021	52	288.613521873619	7	0.387096774193548	0.00134122882282367	FALSE
AY.121.1	2021	49	160.038356164384	1	1	0.00624850207142123	FALSE
AY.122	2021	39	75.5383561643836	30	0.258064516129032	0.00341633746394272	FALSE
AY.122	2021	40	58.0383561643836	30	0.903225806451613	0.0155625670012669	FALSE
AY.122	2021	41	53.0383561643836	30	0.903225806451613	0.0170296719538633	FALSE
AY.122	2021	42	41.0383561643836	30	0.903225806451613	0.022009307654372	FALSE
AY.122	2021	43	50.0383561643836	30	0.903225806451613	0.0180506690404533	FALSE
AY.122	2021	44	71.4383561643836	30	2.52903225806452	0.0354016020783719	FALSE
AY.122	2021	45	76.1716894977169	30	2.8	0.0367590638787646	FALSE
AY.122	2021	46	55.1716894977169	30	2.8	0.0507506662473309	FALSE
AY.122	2021	47	123.171689497717	30	3.8	0.0308512452455273	FALSE
AY.122	2021	48	121.238356164384	30	1.71612903225806	0.0141550008310177	FALSE
AY.122	2021	49	160.038356164384	30	4.90322580645161	0.0306378166082589	FALSE
AY.122	2021	50	276.038356164384	30	2.90322580645161	0.0105174724512658	FALSE
