Province	Wave	n	Population_size	n_per_100000
Lop Buri	2nd wave	22	742928	2.96125600327353
Lop Buri	3rd wave	597	742928	80.3577197251954
Lop Buri	4th wave	18552	742928	2497.14642603321
Lop Buri	5th wave	16080	742928	2164.40893330175
Mae Hong Son	1st wave	5	284549	1.75716660399439
Mae Hong Son	2nd wave	NA	NA	NA
Mae Hong Son	3rd wave	49	284549	17.220232719145
Mae Hong Son	4th wave	3401	284549	1195.22472403698
Mae Hong Son	5th wave	2627	284549	923.215333738653
Maha Sarakham	1st wave	1	953660	0.104859174129145
Maha Sarakham	2nd wave	20	953660	2.09718348258289
Maha Sarakham	3rd wave	533	953660	55.8899398108341
Maha Sarakham	4th wave	11255	953660	1180.19000482352
Maha Sarakham	5th wave	28248	953660	2962.06195080008
Mukdahan	1st wave	4	350911	1.13989017158197
Mukdahan	2nd wave	NA	NA	NA
Mukdahan	3rd wave	89	350911	25.3625563176988
Mukdahan	4th wave	2602	350911	741.49855661407
Mukdahan	5th wave	6882	350911	1961.18104020678
Nakhon Nayok	1st wave	2	260081	0.768991198895729
Nakhon Nayok	2nd wave	13	260081	4.99844279282224
Nakhon Nayok	3rd wave	641	260081	246.461679246081
Nakhon Nayok	4th wave	11261	260081	4329.8049453824
Nakhon Nayok	5th wave	12801	260081	4921.92816853211
Nakhon Pathom	1st wave	21	920729	2.28080140844917
Nakhon Pathom	2nd wave	115	920729	12.4901029510312
Nakhon Pathom	3rd wave	5319	920729	577.694413882912
Nakhon Pathom	4th wave	31222	920729	3391.00864640953
Nakhon Pathom	5th wave	46401	920729	5039.59362635477
Nakhon Phanom	1st wave	2	717201	0.278861853232218
Nakhon Phanom	2nd wave	1	717201	0.139430926616109
Nakhon Phanom	3rd wave	248	717201	34.578869800795
Nakhon Phanom	4th wave	4959	717201	691.437965089285
Nakhon Phanom	5th wave	14083	717201	1963.60573953466
Nakhon Ratchasima	1st wave	19	2633207	0.721553603647567
Nakhon Ratchasima	2nd wave	13	2633207	0.493694570916757
Nakhon Ratchasima	3rd wave	1436	2633207	54.534261833574
Nakhon Ratchasima	4th wave	34906	2633207	1325.60789941695
Nakhon Ratchasima	5th wave	48376	2633207	1837.15142789762
Nakhon Sawan	1st wave	9	1040308	0.865128404280271
Nakhon Sawan	2nd wave	4	1040308	0.384501513013454
Nakhon Sawan	3rd wave	873	1040308	83.9174552151863
Nakhon Sawan	4th wave	17535	1040308	1685.55850767273
Nakhon Sawan	5th wave	24589	1040308	2363.62692587195
Nakhon Si Thammarat	1st wave	12	1550721	0.773833590955433
Nakhon Si Thammarat	2nd wave	4	1550721	0.257944530318478
Nakhon Si Thammarat	3rd wave	1609	1550721	103.758187320608
Nakhon Si Thammarat	4th wave	47294	1550721	3049.80715422052
Nakhon Si Thammarat	5th wave	79391	1550721	5119.61855162857
Nan	1st wave	NA	NA	NA
Nan	2nd wave	1	476727	0.209763659285084
Nan	3rd wave	169	476727	35.4500584191791
Nan	4th wave	2930	476727	614.607521705295
Nan	5th wave	12284	476727	2576.73679065797
Narathiwat	1st wave	43	804429	5.34540649330146
Narathiwat	2nd wave	11	804429	1.36742956805386
Narathiwat	3rd wave	2494	804429	310.033576611485
Narathiwat	4th wave	40266	804429	5005.53808975062
Narathiwat	5th wave	7910	804429	983.306171209641
Nong Bua Lam Phu	1st wave	3	509470	0.588847233399415
Nong Bua Lam Phu	2nd wave	1	509470	0.196282411133138
Nong Bua Lam Phu	3rd wave	149	509470	29.2460792588376
Nong Bua Lam Phu	4th wave	4620	509470	906.824739435099
Nong Bua Lam Phu	5th wave	11376	509470	2232.90870905058
Nong Khai	1st wave	3	517435	0.579782967909013
Nong Khai	2nd wave	2	517435	0.386521978606008
Nong Khai	3rd wave	122	517435	23.5778406949665
Nong Khai	4th wave	4521	517435	873.732932638882
Nong Khai	5th wave	23404	517435	4523.08019364751
Nonthaburi	1st wave	155	1276745	12.1402472694234
Nonthaburi	2nd wave	206	1276745	16.1347802419434
Nonthaburi	3rd wave	20611	1276745	1614.33959012959
Nonthaburi	4th wave	48817	1276745	3823.55129646092
Nonthaburi	5th wave	74232	1276745	5814.1602277667
Pathum Thani	1st wave	39	1176412	3.31516509522174
Pathum Thani	2nd wave	601	1176412	51.0875441596992
Pathum Thani	3rd wave	9791	1176412	832.276447367079
Pathum Thani	4th wave	33024	1176412	2807.17979755392
Pathum Thani	5th wave	44072	1176412	3746.30656606699
Pattani	1st wave	92	726015	12.6719144921248
Pattani	2nd wave	3	726015	0.41321460300407
Pattani	3rd wave	3094	726015	426.161993898198
Pattani	4th wave	45802	726015	6308.68508226414
Pattani	5th wave	11030	726015	1519.25235704496
Phangnga	1st wave	2	268229	0.745631531266194
Phangnga	2nd wave	NA	NA	NA
Phangnga	3rd wave	342	268229	127.502991846519
Phangnga	4th wave	7561	268229	2818.86000395185
Phangnga	5th wave	10209	268229	3806.07615134829
Phatthalung	1st wave	14	523077	2.67647019463674
Phatthalung	2nd wave	3	523077	0.573529327422158
Phatthalung	3rd wave	617	523077	117.95586500649
Phatthalung	4th wave	13571	523077	2594.45550081537
Phatthalung	5th wave	24106	523077	4608.49932227951
Phayao	1st wave	3	467356	0.6419089516343
Phayao	2nd wave	NA	NA	NA
Phayao	3rd wave	201	467356	43.0078997594981
Phayao	4th wave	2618	467356	560.172545126199
Phayao	5th wave	6181	467356	1322.5464100172
Phetchabun	1st wave	3	981940	0.305517648736175
Phetchabun	2nd wave	1	981940	0.101839216245392
Phetchabun	3rd wave	373	981940	37.9860276595311
Phetchabun	4th wave	12590	981940	1282.15573252948
Phetchabun	5th wave	12833	981940	1306.90266207711
