t	full_phy_ne_meanlog	full_phy_ne_sdlog	non_BMR_phy_ne_meanlog	non_BMR_phy_ne_sdlog	diff_ne_median	diff_ne_CI_lb	diff_ne_CI_ub
2019.92959933192	3.79911908162096	0.0599223899105916	3.01207376190811	0.0329459194164888	24.3478540411845	19.1009646778201	29.946574997877
2019.94879904698	3.82076466750614	0.0584767430167696	3.09421438853585	0.0328895482471943	23.5923855669871	18.2760636301679	29.1385230713979
2019.96799876205	3.85182742017712	0.0570545219047911	3.1610200934757	0.0328592630689026	23.4789872002791	18.040794615706	29.0696927281359
2019.98719847711	3.90677742091232	0.0556948474472844	3.13531130680889	0.0328715110022791	26.7559450128262	21.2499634693934	32.5357480295391
2020.00639819218	3.9150920286692	0.0544070874820213	3.20773445317242	0.0329289713221165	25.4626084494932	20.0786772396692	31.2722866002244
2020.02559790725	3.93560868331867	0.0532034351619546	3.29495915926995	0.0330001358173695	24.2136523115234	18.6782013824552	29.9085369865806
2020.04479762231	3.95526432823384	0.0520508994870148	3.32682002233784	0.0331158430948531	24.3666010646065	18.7610345991039	30.0413105259545
2020.06399733738	3.94131778672689	0.0509911678789205	3.4155050335922	0.0332669334625319	21.0417782444243	15.5390260846991	26.5621084788274
2020.08319705244	3.97436234449837	0.0500278856583821	3.46767406005716	0.0334931080425484	21.1517580639274	15.4409842223902	26.7319896028397
2020.10239676751	4.02708505282426	0.0491807812957365	3.51796036678149	0.0337969866744875	22.3820838238417	16.633270209422	28.3266441942079
2020.12159648257	4.0199084477664	0.0484573449816839	3.65880939121522	0.0341985345462867	16.8695818093364	11.1553064881399	22.9310213376588
2020.14079619764	4.02919880530892	0.0478498913425692	3.69544868383799	0.0346165267478547	15.9384755567233	10.0393942371201	21.9781128399114
2020.15999591271	4.03235940468239	0.0472960764528415	3.80001668182434	0.0351048875444608	11.6845238369654	5.66114621394868	17.8679364945096
2020.17919562777	4.06428289837729	0.0468743217649856	3.8501089985296	0.0356594412403056	11.2137972025666	5.01608969246565	17.6381055717285
2020.19839534284	4.11084491024769	0.0465576908387401	3.85206951892559	0.0362960001158092	13.9060914088649	7.35135451885056	20.3909086263484
2020.2175950579	4.11986111018454	0.0463433570720016	3.89308011438384	0.0370254190695359	12.488778558824	5.98799844284187	19.1940960944259
2020.23679477297	4.15137570927616	0.046294180696172	3.83960782437011	0.037835442246252	16.9872429353829	10.4022556290777	23.8463900652983
2020.25599448803	4.1767962797782	0.0461523095976743	3.80905885934148	0.0386648051906099	20.0296594982177	13.4095918113075	27.0091371317835
2020.2751942031	4.17422305901496	0.0461276012366531	3.84086925531107	0.0395561545534628	18.4199077351314	11.5870025619883	25.4007837280675
2020.29439391817	4.17045418297277	0.0462490946020036	3.85451245193031	0.0405721317058602	17.5506841931333	10.6711888603061	24.6717765873671
2020.31359363323	4.19907570060425	0.0465720463667322	3.86111260280797	0.0417517709230066	19.0892762412156	11.8745457241449	26.3343896777082
2020.3327933483	4.20807002536004	0.0469851858309864	3.89722455866822	0.0430795362174231	17.9343839715977	10.4389077143585	25.3340543099925
2020.35199306336	4.22207483557186	0.0475596950509784	3.87095528360705	0.0445277103857708	20.2018188120711	12.6669101926472	27.8581330240793
2020.37119277843	4.22288285545269	0.048240146438701	3.91995631536086	0.046050131826217	17.8469582984799	10.1500391247193	25.9440632888961
2020.3903924935	4.23284043168159	0.0490123703963895	3.88638657591656	0.0476653183889641	20.1820388693516	12.2162201146823	28.3036252633329
2020.40959220856	4.24189236008663	0.0498629210339713	3.90335927583695	0.0494376952749512	19.9490896223572	11.7438704103448	28.4589102937391
2020.42879192363	4.26106511868919	0.0508067588850541	3.90422197158973	0.0514290085201922	21.2723718573294	12.6051025186178	29.9843428357867
2020.44799163869	4.27955909892128	0.0517775740375361	3.92597777550262	0.0536508837427903	21.5145079173388	12.6192657817463	30.7025357442601
2020.46719135376	4.30111046521537	0.0528041414873732	3.97772150907928	0.0561905162394537	20.3923355131951	10.662607646979	29.9677926311263
2020.48639106882	4.32183642400591	0.0538776377424832	4.00985639480093	0.0590784312722953	20.1545614127457	10.0193488150502	30.5101118255615
2020.50559078389	4.33181082343739	0.0549911261654824	4.00553430242619	0.0625194843322645	21.1576568514534	10.5940283687522	31.8035903281354
2020.52479049896	4.31760476183506	0.0561306870084512	4.00838237715147	0.0668930133962628	19.9252760122513	8.79146369588101	30.7371392160772
2020.54399021402	4.32374941924023	0.0573866171599897	3.99416626327799	0.0727388566555109	21.1653570784752	9.78719005305224	32.9011476776111
2020.56318992909	4.32869109224853	0.0586446752761329	4.05721939642649	0.0808336363737614	17.9863114513644	5.36042216427521	30.779962375634
2020.58238964415	4.35179360933961	0.0600054510192143	4.07478657248471	0.0921151094238487	18.7725748786854	4.62154863541741	32.7696395037668
2020.60158935922	4.37770893970116	0.0615384660220923	4.10417431177742	0.107746243392543	18.9841258306216	2.46413939352557	34.7249490866822
2020.62078907428	4.39117468468684	0.0632390635100012	4.11424422174503	0.128877874179488	19.5078679283505	0.332329237982549	37.3179605331142
2020.63998878935	4.41620597759901	0.0651027337037613	4.12870133966419	0.156559498763356	20.6612989761134	-2.20628404485738	41.8868461243632
2020.65918850442	4.43325237346048	0.0672135364685963	4.15880957039171	0.191290310729281	20.1522037439608	-8.3890000589155	45.3000481513319
2020.67838821948	4.47506874399898	0.0696531212681662	4.16515648304129	0.232779906685856	23.3398894975902	-12.3262717297447	52.1649521710981
2020.69758793455	4.48420743888473	0.0726832697628085	4.19118927654478	0.279705023835385	22.4654839729476	-22.3577408429518	56.6056728838696
